Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Population ages 0-14, total",SP.POP.0014.TO,23349,23440,23579,23617,23536,23379,23175,22984,22817,22608,22342,22002,21249,20686,20044,19378,18742,18175,17694,17362,17210,17156,17112,17094,17017,16392,15550,14960,14683,14918,15936,17668,19001,20118,20955,21033,21157,21391,21429,21313,21240,21183,21016,20914,21003,21246,21432,21455,21489,21487,21184,20767,20556,20496,20474,20539,20598,20495,20383,20242,19822,19279,18827,18450
Africa Eastern and Southern,AFE,"Population ages 0-14, total",SP.POP.0014.TO,57221591,58887158,60638267,62485094,64425470,66470760,68603690,70811069,73099445,75444615,77874336,80397226,82964638,85642071,88364423,91065606,93862743,96637584,99557193,102705260,105794233,109052359,112540421,115940428,119271121,122683816,126197655,129849506,133493355,137158222,140979443,144714664,148575536,152658124,156479079,160545743,165263808,169822973,173940401,177996598,182106950,186274332,190595224,195095467,199800681,204733886,209858998,215140644,220586303,226173557,231747289,237129292,242581142,248234219,253841655,259383590,264919404,270425326,275978311,281645682,287373832,293122201,298868211,304468664
Afghanistan,AFG,"Population ages 0-14, total",SP.POP.0014.TO,3789907,3872549,3960460,4056546,4162207,4279578,4405340,4535677,4671648,4812623,4959332,5108319,5261617,5423677,5589711,5753511,5909060,6062903,6212922,6260574,6065314,5523098,5107812,5092986,5239339,5370647,5385732,5385966,5464492,5644819,5742560,5855233,6379081,7209656,7879014,8318431,8705712,9094744,9496632,9907761,10070182,10176371,10739916,11421150,11822009,12214380,12675420,12847673,13043065,13424937,13708543,14098579,14548198,14913706,15318393,15650350,15893383,16190144,16519526,16875060,17277906,17563431,17684195,17919319
Africa Western and Central,AFW,"Population ages 0-14, total",SP.POP.0014.TO,40523563,41483057,42497195,43602067,44783498,45988041,47212313,48478786,49800324,51182377,52622344,54124465,55696515,57345713,59092765,60949302,62884293,64901839,67025388,69226991,71493104,73829151,76229020,78564396,80909073,83364393,85830358,88301419,90779713,93279701,95687083,98081698,100579066,103029725,105477213,108055267,110719949,113472254,116294673,119177733,122272272,125613109,129091336,132668174,136388194,140289223,144356205,148549711,152754140,156931376,161244879,165735049,170294287,174855679,179487540,184089299,188494222,192667025,196556315,200139391,203446260,206571017,209554072,212515766
Angola,AGO,"Population ages 0-14, total",SP.POP.0014.TO,2159095,2207648,2251793,2300094,2354637,2411584,2467621,2522140,2574082,2623229,2688649,2771683,2856140,2943272,3032678,3123714,3215857,3311209,3412035,3519193,3634050,3757457,3889655,4029537,4177523,4336579,4507758,4685838,4868857,5058491,5252991,5453841,5655873,5858692,6068930,6283576,6500131,6719360,6938490,7160131,7387857,7624208,7872209,8135220,8417080,8716946,9035021,9373677,9733853,10114553,10515323,10934479,11370889,11822670,12283698,12748247,13214853,13681515,14145450,14605543,15059549,15508255,15949482,16380266
Albania,ALB,"Population ages 0-14, total",SP.POP.0014.TO,662424,692513,719264,743660,766535,788546,810123,831850,854827,876682,893603,907894,921354,932038,940579,947437,951736,954895,957580,961959,968929,976756,985979,994873,1003721,1013456,1022319,1030859,1041190,1063202,1074525,1058998,1044173,1029604,1014696,1000229,985996,970292,952776,934158,914868,888582,862957,835817,808130,779083,748992,718511,688601,659579,632011,607953,588552,573060,560097,547149,535135,525364,516099,506456,497247,488314,478387,467968
Andorra,AND,"Population ages 0-14, total",SP.POP.0014.TO,2570,2821,3085,3359,3642,3923,4269,4729,5206,5640,6031,6383,6701,6995,7267,7518,7761,7986,8184,8326,8365,8297,8447,8785,8984,8986,9101,9284,9298,9278,9376,9665,9926,10155,10173,10015,9959,9958,9975,10039,10083,10063,10094,10435,11047,11572,11906,12068,12141,12139,12080,12052,11924,11689,11410,11056,10895,10883,10688,10490,10369,10219,10087,9903
Arab World,ARB,"Population ages 0-14, total",SP.POP.0014.TO,39748095,41000089,42276993,43615143,44982147,46366695,47803052,49291516,50788593,52304021,53852160,55434548,57071023,58819096,60598646,62504745,64590922,66600660,68651582,70913730,73220800,75411732,77583899,79829112,82125708,84426320,86746526,89043918,91157933,93184889,95802435,97296458,99040058,101015832,102936254,104571483,106064891,107449550,108751448,109961939,111224083,112516866,113756522,114938258,116128870,117437062,118742496,120118645,121903853,124004466,125883655,128223202,130861178,134148410,137362703,140572437,143510840,146114372,148423931,150580409,152889700,154391877,156278410,157688530
United Arab Emirates,ARE,"Population ages 0-14, total",SP.POP.0014.TO,49608,50694,51934,53418,55093,56680,57758,57765,62228,73234,85328,97059,108874,121115,133987,147446,165845,190293,217603,247539,278468,307916,336145,364874,394215,423700,457125,491103,518877,541919,561508,578701,594275,608522,621073,631557,653994,683626,703698,717761,727953,736846,748190,765519,789591,815562,861753,955854,1062665,1131211,1159216,1194941,1241795,1294608,1357398,1431530,1502080,1546159,1561755,1572667,1558652,1580701,1659913,1712934
Argentina,ARG,"Population ages 0-14, total",SP.POP.0014.TO,6363741,6446500,6523993,6597774,6669159,6733820,6789634,6845622,6908484,6981603,7065751,7161026,7268940,7392963,7530031,7672105,7824050,7990184,8165415,8346340,8533136,8723208,8908512,9082685,9244763,9393902,9529674,9654707,9771696,9876694,9970344,10053245,10121069,10179868,10235908,10287596,10331486,10368349,10403665,10442166,10481918,10514972,10539141,10553475,10560344,10564504,10564955,10561832,10567685,10582245,10603179,10638696,10673390,10709609,10761968,10820295,10864269,10885826,10883865,10837387,10710085,10530006,10330637,10105270
